mechanism_rank	axis_id	display_label	mechanism_evidence_score	mechanism_evidence_score_display	manuscript_role	figure_role	primary_sender_state	primary_receiver_state	best_pair	target_overlap_count	legend_sentence	claim_guardrail	score_note
1	MIF_CD74	MIF CD74	99.30443112739796	99	primary_mechanism_candidate	main story	MSP-program-high fibrochondrocyte	immune/myeloid	MIF->CD74	8	MIF_CD74 is ranked 1 as a primary_mechanism_candidate linking MSP-program-high fibrochondrocyte to immune/myeloid.	Can be framed as a leading candidate axis, but only as validated mechanism after formal communication, protein, and perturbation evidence.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
2	ANGPTL4_integrin	ANGPTL4 integrin	92.9957926282946	93	primary_mechanism_candidate	main story	MSP-program-high fibrochondrocyte	mural/smooth muscle	ANGPTL4->ITGB1	8	ANGPTL4_integrin is ranked 2 as a primary_mechanism_candidate linking MSP-program-high fibrochondrocyte to mural/smooth muscle.	Can be framed as a leading candidate axis, but only as validated mechanism after formal communication, protein, and perturbation evidence.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
3	VEGF	VEGF	90.68363058560377	91	primary_mechanism_candidate	main story	MSP-program-high fibrochondrocyte	endothelial	VEGFA->FLT1	8	VEGF is ranked 3 as a primary_mechanism_candidate linking MSP-program-high fibrochondrocyte to endothelial.	Can be framed as a leading candidate axis, but only as validated mechanism after formal communication, protein, and perturbation evidence.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
4	MIF_chemokine_receptors	MIF chemokine receptors	82.14118481514978	82	secondary_mechanism_candidate	secondary story	MSP-program-high fibrochondrocyte	T/NK	MIF->CXCR4	8	MIF_chemokine_receptors is ranked 4 as a secondary_mechanism_candidate linking MSP-program-high fibrochondrocyte to T/NK.	Use as secondary mechanism; require receptor/pathway validation before causal language.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
5	FGF_FGFR	FGF FGFR	74.234528319538	74	secondary_mechanism_candidate	secondary story	MSP-program-high fibrochondrocyte	outer fibrous-like	FGF2->FGFR1	7	FGF_FGFR is ranked 5 as a secondary_mechanism_candidate linking MSP-program-high fibrochondrocyte to outer fibrous-like.	Use as secondary mechanism; require receptor/pathway validation before causal language.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
6	BMP2_BMPR	BMP2 BMPR	64.59252609291724	65	secondary_mechanism_candidate	secondary story	mural/smooth muscle	endothelial	BMP2->BMPR2	7	BMP2_BMPR is ranked 6 as a secondary_mechanism_candidate linking mural/smooth muscle to endothelial.	Use as secondary mechanism; require receptor/pathway validation before causal language.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
7	INHBA_activin	INHBA activin	50.3037369153479	50	secondary_mechanism_candidate	secondary story	PRG4+ chondrocyte	CFD+ chondrocyte	INHBA->ACVR1B	7	INHBA_activin is ranked 7 as a secondary_mechanism_candidate linking PRG4+ chondrocyte to CFD+ chondrocyte.	Use as secondary mechanism; require receptor/pathway validation before causal language.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
8	SPP1_matrix_immune	SPP1 matrix immune	38.05362489033225	38	supporting_or_sensitivity_axis	supporting	endothelial	mural/smooth muscle	SPP1->CD44	2	SPP1_matrix_immune is ranked 8 as a supporting_or_sensitivity_axis linking endothelial to mural/smooth muscle.	Use as supportive biology, not a main mechanistic claim.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
9	IL6_gp130	IL6 gp130	37.57501322546314	38	supporting_or_sensitivity_axis	supporting	mural/smooth muscle	endothelial	IL6->IL6ST	2	IL6_gp130 is ranked 9 as a supporting_or_sensitivity_axis linking mural/smooth muscle to endothelial.	Use as supportive biology, not a main mechanistic claim.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
10	IL11_gp130	IL11 gp130	36.24378432035438	36	supporting_or_sensitivity_axis	supporting	cycling chondrocyte	CFD+ chondrocyte	IL11->IL6ST	2	IL11_gp130 is ranked 10 as a supporting_or_sensitivity_axis linking cycling chondrocyte to CFD+ chondrocyte.	Use as supportive biology, not a main mechanistic claim.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
11	matrix_integrin	matrix integrin	26.464786469105235	26	exploratory_not_for_main_claim	supplement/response	outer fibrous-like	mural/smooth muscle	POSTN->ITGAV	8	matrix_integrin is ranked 11 as a exploratory_not_for_main_claim linking outer fibrous-like to mural/smooth muscle.	Do not promote to primary mechanism from overlap alone; generic matrix overlap is a known confounder.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
12	TWEAK_FN14	TWEAK FN14	25.036135617251407	25	exploratory_not_for_main_claim	supplement/response	PCL.2	cycling chondrocyte	TNFSF12->TNFRSF12A	8	TWEAK_FN14 is ranked 12 as a exploratory_not_for_main_claim linking PCL.2 to cycling chondrocyte.	Do not promote to primary mechanism from overlap alone; generic matrix overlap is a known confounder.	Mechanism evidence score is a triage/prioritization score, not an effect size or causal estimate (see Methods).
