file_id	upload_category	recommended_filename	source_path	assembled_path	assembly_status	manual_check
UF01	title_page	JOT_Title_Page_and_Author_Statements.docx	docs/manuscript/20_jot_title_page_and_author_statements.md	submission/jot/JOT_Title_Page_and_Author_Statements.docx	docx_ready_needs_author_check	Open the assembled file and confirm journal formatting, author wording, and metadata before upload.
UF02	manuscript	JOT_Anonymized_Manuscript.docx	docs/manuscript/22_jot_anonymized_manuscript_draft.md	submission/jot/JOT_Anonymized_Manuscript.docx	docx_ready_needs_author_check	Open the assembled file and confirm journal formatting, author wording, and metadata before upload.
UF03	cover_letter	JOT_Cover_Letter.docx	docs/manuscript/21_jot_cover_letter_draft.md	submission/jot/JOT_Cover_Letter.docx	docx_ready_needs_author_check	Open the assembled file and confirm journal formatting, author wording, and metadata before upload.
UF04	declarations	JOT_Declarations.docx	docs/manuscript/20_jot_title_page_and_author_statements.md	submission/jot/JOT_Declarations.docx	docx_ready_needs_author_check	Open the assembled file and confirm journal formatting, author wording, and metadata before upload.
UF05	main_figure	Figure_1_MSP_discovery_workflow.png	results/figures/manuscript/figure1_workflow_and_msp_discovery_draft.png	results/figures/manuscript/figure1_workflow_and_msp_discovery_draft.png	figure_draft_ready_needs_export	Export final journal-resolution image and confirm panel lettering/readability.
UF06	main_figure	Figure_2_HRA_projection.png	results/figures/manuscript/figure2_hra_projection_draft.png	results/figures/manuscript/figure2_hra_projection_draft.png	figure_draft_ready_needs_export	Export final journal-resolution image and confirm panel lettering/readability.
UF07	main_figure	Figure_3_bulk_validation_subtyping.png	results/figures/manuscript/figure3_bulk_validation_subtyping_draft.png	results/figures/manuscript/figure3_bulk_validation_subtyping_draft.png	figure_draft_ready_needs_export	Export final journal-resolution image and confirm panel lettering/readability.
UF08	main_figure	Figure_4_candidate_paracrine_axes.png	results/figures/manuscript/figure4_mechanism_network_draft.png;results/figures/manuscript/figure4_axis_summary_draft.png	results/figures/manuscript/figure4_mechanism_network_draft.png;results/figures/manuscript/figure4_axis_summary_draft.png	figure_draft_ready_needs_export	Export final journal-resolution image and confirm panel lettering/readability.
UF09	main_figure	Figure_5_validation_roadmap.png	results/figures/manuscript/figure5_validation_roadmap_draft.png	results/figures/manuscript/figure5_validation_roadmap_draft.png	figure_draft_ready_needs_export	Export final journal-resolution image and confirm panel lettering/readability.
UF10	supplementary_figure	Supplementary_Figure_S1_guardrails_sensitivity.png	results/figures/manuscript/supplementary_figure_s1_guardrails_sensitivity_draft.png	results/figures/manuscript/supplementary_figure_s1_guardrails_sensitivity_draft.png	figure_draft_ready_needs_export	Export final journal-resolution image and confirm panel lettering/readability.
UF11	supplementary_table	JOT_Supplementary_Tables_ST01_ST28.xlsx	results/tables/manuscript_jot_supplementary_upload_manifest.tsv	submission/jot/JOT_Supplementary_Tables_ST01_ST28.xlsx	xlsx_ready_needs_manual_check	Open the assembled file and confirm journal formatting, author wording, and metadata before upload.
UF12	data_code_deferred	Data_and_Code_Availability_URL_or_DOI.txt	[deferred]	[deferred]	deferred	Create final code repository/archive and insert URL or DOI before submission.
