panel	evidence_type	item	status_or_label	source	guardrail
A_Risk_register	reviewer_risk	generic senescence	active_guardrail	docs/manuscript/03_msp_mechanism_claim_guardrails.md	MSP-like programs retain meniscus/fibrocartilage context beyond generic senescence panels, but require further specificity testing.
A_Risk_register	reviewer_risk	sample skew	active_guardrail	results/tables/gse220243_cnmf_program_interpretation_priority.tsv	Sample-aware cNMF nominates recurrent candidate programs; donor and normal-skewed usage are interpreted cautiously.
A_Risk_register	reviewer_risk	bulk heterogeneity	active_guardrail	results/tables/bulk_msp_meta_axis_summary.tsv	Bulk validation shows detectable but tissue- and comparator-dependent MSP-like signals.
A_Risk_register	reviewer_risk	HRA projection	active_guardrail	results/tables/hra001986_msp_projection_group_summary.tsv	HRA projection provides external meniscus cell-state context, not spatial proof.
A_Risk_register	reviewer_risk	formal CellChat/LIANA/NicheNet	planned_validation	results/tables/msp_comm_tool_pair_edges.tsv	Inputs are prepared for formal CellChat/LIANA/NicheNet; current evidence is prioritization, not consensus signaling proof.
A_Risk_register	reviewer_risk	wet-lab validation	planned_validation	results/tables/msp_lr_validation_assay_matrix.tsv	Conditioned-medium and protein assays are proposed future validation, not completed evidence.
A_Risk_register	reviewer_risk	Mendelian randomization	not_performed_current_analysis	results/tables/manuscript_methods_reporting_checklist.tsv	Mendelian randomization was not performed in the current analysis and remains an optional future causal-support module.
A_Risk_register	reviewer_risk	clinical classifier	active_guardrail	results/tables/bulk_msp_subtyping_subtype_profiles.tsv	S1 and S2 are relative molecular states requiring prospective and clinical validation.
A_Risk_register	reviewer_risk	direct cross-tissue contact	active_guardrail	docs/manuscript/03_msp_mechanism_claim_guardrails.md	Cross-tissue biology should be framed as paracrine or synovial-fluid mediated unless spatial evidence is added.
B_Reporting_boundaries	planned_or_not_performed	formal CellChat/LIANA/NicheNet consensus	planned_validation	results/tables/msp_comm_tool_pair_edges.tsv	Inputs are prepared, but formal consensus is not used as completed causal evidence.
B_Reporting_boundaries	planned_or_not_performed	synovial-fluid or tissue protein validation	planned_validation	results/tables/msp_lr_validation_assay_matrix.tsv	Protein validation is a proposed next layer.
B_Reporting_boundaries	planned_or_not_performed	conditioned-medium perturbation assays	planned_validation	results/tables/msp_lr_validation_assay_matrix.tsv	Functional perturbation is proposed, not completed.
B_Reporting_boundaries	planned_or_not_performed	Hotspot independent co-expression validation	not_performed_current_analysis	docs/methods/msp_definition.md	Mention only as not performed in the current analysis.
B_Reporting_boundaries	planned_or_not_performed	RNA velocity directionality analysis	not_performed_current_analysis	docs/workflow/01_analysis_workflow.md	No spliced/unspliced velocity result is reported.
B_Reporting_boundaries	planned_or_not_performed	Mendelian randomization causal inference	not_performed_current_analysis	docs/workflow/01_analysis_workflow.md	No MR result is reported in the current manuscript draft.
C_Bulk_heterogeneity	bulk_axis_robustness	Fibrocartilage_matrix_K14P4	stable	results/tables/bulk_msp_robustness_flags.tsv	robust disease-associated bulk signal suitable as a positive-control axis
C_Bulk_heterogeneity	bulk_axis_robustness	Fibrotic_remodeling_K14P7	heterogeneous_caution	results/tables/bulk_msp_robustness_flags.tsv	report as detectable but heterogeneous; avoid universal OA-up or OA-down wording
C_Bulk_heterogeneity	bulk_axis_robustness	Generic_stress_K14P1	heterogeneous_caution	results/tables/bulk_msp_robustness_flags.tsv	report as detectable but heterogeneous; avoid universal OA-up or OA-down wording
C_Bulk_heterogeneity	bulk_axis_robustness	MSP_angiogenic_K14P9	heterogeneous_caution	results/tables/bulk_msp_robustness_flags.tsv	report as detectable but heterogeneous; avoid universal OA-up or OA-down wording
C_Bulk_heterogeneity	bulk_axis_robustness	MSP_inflammatory_K14P10	heterogeneous_caution	results/tables/bulk_msp_robustness_flags.tsv	report as detectable but heterogeneous; avoid universal OA-up or OA-down wording
C_Bulk_heterogeneity	bulk_axis_robustness	MSP_paracrine_K12P8	heterogeneous_caution	results/tables/bulk_msp_robustness_flags.tsv	report as detectable but heterogeneous; avoid universal OA-up or OA-down wording
C_Bulk_heterogeneity	bulk_axis_robustness	MSP_paracrine_consensus_K12P8_K14P9	heterogeneous_caution	results/tables/bulk_msp_robustness_flags.tsv	report as detectable but heterogeneous; avoid universal OA-up or OA-down wording
