paragraph_id	results_section	linked_claims	linked_figure	paragraph_role	source_outputs	claim_guardrail
R01	MSP discovery	C01;C02	Figure 1	opening_discovery	results/tables/gse220243_cnmf_msp_candidate_shortlist.tsv;results/tables/gse220243_fibrochondrocyte_cnmf_balanced_discovery_usage_summary.tsv	Program-level candidate evidence; not causal and not a validated senescence mechanism. Avoid treating sample-skewed clusters as independent disease states.
R02	MSP discovery	C01	Figure 1B	program_definition	results/tables/gse220243_cnmf_msp_candidate_shortlist.tsv	Program-level candidate evidence; not causal and not a validated senescence mechanism.
R03	MSP discovery	C02	Figure 1C	sample_awareness	results/tables/gse220243_fibrochondrocyte_cnmf_balanced_discovery_usage_summary.tsv	Avoid treating sample-skewed clusters as independent disease states.
R04	HRA projection	C03;C04	Figure 2	external_context_validation	results/tables/hra001986_msp_projection_group_tests.tsv;results/tables/hra001986_msp_projection_group_summary.tsv	Projection validates context, not causality or universal disease direction. Do not overinterpret author labels as direct spatial proof.
R05	HRA projection	C04	Figure 2B	cell_state_context	results/tables/hra001986_msp_projection_group_summary.tsv	Do not overinterpret author labels as direct spatial proof.
R06	Bulk validation	C05	Figure 3A	bulk_meta_analysis	results/tables/bulk_msp_meta_evidence_grade.tsv	Do not claim a universal OA-up MSP signature.
R07	Bulk validation	C06	Figure 3B	bulk_subtyping	results/tables/bulk_msp_subtyping_subtype_profiles.tsv	Frame as relative subtype structure, not a clinical classifier without prospective validation.
R08	Bulk validation	C07;C08	Figure 3C	robustness_and_proxy_caution	results/tables/bulk_msp_robustness_flags.tsv;results/tables/bulk_cell_state_proxy_subtype_summary.tsv	Use sensitivity evidence to temper directionality claims. Do not present NNLS or marker proxies as validated cell composition.
R09	Candidate mechanism axes	C09;C13	Figure 4A	mechanism_axis_ranking	results/tables/msp_mechanism_axis_evidence_dossier.tsv;results/tables/manuscript_figure4_axis_summary.tsv	candidate axes only; not causal until formal communication, protein, and perturbation evidence align. Use candidate and not causal language in figure title, legend, and text.
R10	Candidate mechanism axes	C10;C11	Figure 4B-C	sender_receiver_and_target_concordance	results/tables/msp_lr_single_cell_context_priority.tsv;results/tables/msp_axis_target_concordance_for_nichenet.tsv	Expression co-context is not CellChat, LIANA, or NicheNet evidence by itself. Target overlap is not ligand-activity inference.
R11	Validation roadmap	C12	Figure 5	validation_design	results/tables/msp_lr_validation_assay_matrix.tsv	Roadmap is a proposed validation plan, not completed wet-lab evidence.
R12	Validation roadmap	C09;C12;C13	Figure 5;Supplementary Figure S1	interpretation_guardrail	results/tables/msp_mechanism_axis_evidence_dossier.tsv;results/tables/msp_lr_validation_assay_matrix.tsv;results/tables/manuscript_figure4_axis_summary.tsv	candidate axes only; not causal until formal communication, protein, and perturbation evidence align. Roadmap is a proposed validation plan, not completed wet-lab evidence. Use candidate and not causal language in figure title, legend, and text.
