claim_id	results_subsection	assigned_figure	assigned_panel	claim_text	primary_source	claim_guardrail	writing_status
C01	Single-cell MSP discovery and sample-aware program acceptance	Figure 1	B	MSP discovery in fibrochondrocyte cNMF programs nominated recurrent meniscus/interface program candidates rather than a hub-gene signature.	results/tables/gse220243_cnmf_msp_candidate_shortlist.tsv	Program-level candidate evidence; not causal and not a validated senescence mechanism.	draft_ready_with_guardrail
C02	Single-cell MSP discovery and sample-aware program acceptance	Figure 1	C	Balanced cNMF and sample-aware summaries support using program recurrence across donors as the acceptance frame for MSP-like axes.	results/tables/gse220243_fibrochondrocyte_cnmf_balanced_discovery_usage_summary.tsv	Avoid treating sample-skewed clusters as independent disease states.	draft_ready_with_guardrail
C03	HRA projection and meniscus-context validation	Figure 2	A	HRA projection supports anatomical and cell-state context for MSP-like programs in author-processed human meniscus data.	results/tables/hra001986_msp_projection_group_tests.tsv	Projection validates context, not causality or universal disease direction.	draft_ready_with_guardrail
C04	HRA projection and meniscus-context validation	Figure 2	B	HRA inner/outer and normal/abnormal summaries help separate meniscus-context signal from generic senescence signal.	results/tables/hra001986_msp_projection_group_summary.tsv	Do not overinterpret author labels as direct spatial proof.	draft_ready_with_guardrail
C05	Bulk validation, subtype structure, and robustness	Figure 3	A	bulk validation shows MSP-like axes are detectable across cohorts, but effect direction is heterogeneous across tissue and comparator context.	results/tables/bulk_msp_meta_evidence_grade.tsv	Do not claim a universal OA-up MSP signature.	draft_ready_with_guardrail
C06	Bulk validation, subtype structure, and robustness	Figure 3	B	Bulk subtype analysis supports an S1 ECM/fibrotic-high state and an S2 mixed-low state.	results/tables/bulk_msp_subtyping_subtype_profiles.tsv	Frame as relative subtype structure, not a clinical classifier without prospective validation.	draft_ready_with_guardrail
C07	Bulk validation, subtype structure, and robustness	Figure 3	C	Covariate and leave-one checks reinforce that age, tissue, platform, and comparator context need explicit handling.	results/tables/bulk_msp_robustness_flags.tsv	Use sensitivity evidence to temper directionality claims.	draft_ready_with_guardrail
C08	Bulk validation, subtype structure, and robustness	Figure 3	D	Reference-based bulk proxies are directionally suggestive for remodeling/MSP-interface biology but not definitive cell-fraction estimates.	results/tables/bulk_cell_state_proxy_subtype_summary.tsv	Do not present NNLS or marker proxies as validated cell composition.	draft_ready_with_guardrail
C09	Candidate paracrine mechanism axes	Figure 4	A	MSP-program-high meniscal fibrochondrocytes nominate MIF_CD74, ANGPTL4_integrin, VEGF as leading candidate paracrine axes.	results/tables/msp_mechanism_axis_evidence_dossier.tsv	candidate axes only; not causal until formal communication, protein, and perturbation evidence align.	draft_ready_with_guardrail
C10	Candidate paracrine mechanism axes	Figure 4	B	Single-cell ligand and receptor expression context supports the leading mechanism-axis shortlist.	results/tables/msp_lr_single_cell_context_priority.tsv	Expression co-context is not CellChat, LIANA, or NicheNet evidence by itself.	draft_ready_with_guardrail
C11	Candidate paracrine mechanism axes	Figure 4	C	Pre-NicheNet target concordance links primary axes to S1-high receiver-response genes while keeping generic matrix reserve axes exploratory.	results/tables/msp_axis_target_concordance_for_nichenet.tsv	Target overlap is not ligand-activity inference.	draft_ready_with_guardrail
C12	Validation roadmap	Figure 5	A	The validation roadmap separates senolytic, senomorphic, and axis-specific perturbation strategies for prioritized candidates.	results/tables/msp_lr_validation_assay_matrix.tsv	Roadmap is a proposed validation plan, not completed wet-lab evidence.	draft_ready_with_guardrail
C13	Candidate paracrine mechanism axes	Figure 4	D	Figure 4 is organized around evidence-ranked candidate axes, sender-receiver context, and pre-NicheNet concordance.	results/tables/manuscript_figure4_axis_summary.tsv	Use candidate and not causal language in figure title, legend, and text.	draft_ready_with_guardrail
