method_id	methods_section	analysis_status	source_outputs	output_location	reporting_note
M01	Data sources	completed	metadata/datasets/dataset_manifest.tsv;results/tables/bulk_msp_validation_dataset_manifest.tsv	docs/manuscript/09_msp_full_methods_draft.md	Describe public single-cell, HRA processed h5ad, and bulk cohorts.
M02	Single-cell QC	completed	results/tables/gse220243_meniscus_sample_qc_filter_retention.tsv	docs/manuscript/09_msp_full_methods_draft.md	Report sample retention and QC filtering as performed.
M03	Fibrochondrocyte subsetting	completed	results/tables/gse220243_fibrochondrocyte_compartment_summary.tsv	docs/manuscript/09_msp_full_methods_draft.md	Use marker-informed draft annotations and exclude non-fibrochondrocyte contexts from discovery.
M04	cNMF MSP discovery	completed	results/tables/gse220243_fibrochondrocyte_cnmf_balanced_discovery_config.tsv;results/tables/gse220243_cnmf_program_interpretation_priority.tsv	docs/manuscript/09_msp_full_methods_draft.md	Frame as MSP-like program discovery, not final causal state definition.
M05	Sample-aware review	completed	results/tables/gse220243_fibrochondrocyte_cnmf_balanced_discovery_usage_summary.tsv;results/tables/gse220243_cnmf_cross_k_program_similarity.tsv	docs/manuscript/09_msp_full_methods_draft.md	Donor recurrence and cross-K similarity are used as caution checks.
M06	HRA projection	completed	results/tables/hra001986_msp_projection_group_summary.tsv;results/tables/hra001986_msp_projection_group_tests.tsv	docs/manuscript/09_msp_full_methods_draft.md	External context validation only; not spatial or causal proof.
M07	Bulk validation	completed	results/tables/bulk_msp_validation_group_tests.tsv;results/tables/bulk_msp_meta_axis_summary.tsv	docs/manuscript/09_msp_full_methods_draft.md	Cohort-internal z-score projections and random-effects meta-analysis.
M08	Bulk subtyping	completed	results/tables/bulk_msp_subtyping_subtype_profiles.tsv;results/tables/bulk_msp_subtype_axis_tests.tsv	docs/manuscript/09_msp_full_methods_draft.md	Consensus/NMF subtype interpretation as relative molecular states.
M09	Robustness and proxy checks	completed	results/tables/bulk_msp_robustness_flags.tsv;results/tables/bulk_cell_state_proxy_subtype_summary.tsv	docs/manuscript/09_msp_full_methods_draft.md	Use as sensitivity evidence, not definitive cell-fraction inference.
M10	Mechanism prioritization	completed	results/tables/msp_mechanism_axis_evidence_dossier.tsv;results/tables/msp_lr_single_cell_context_priority.tsv	docs/manuscript/09_msp_full_methods_draft.md	Prioritize candidate axes; do not describe as validated signaling.
M11	Receiver target derivation	completed	results/tables/bulk_receiver_targets_s1_high_for_nichenet.tsv;results/tables/msp_axis_target_concordance_for_nichenet.tsv	docs/manuscript/09_msp_full_methods_draft.md	Pre-NicheNet target concordance, not ligand-activity inference.
M12	Validation roadmap	planned_validation	results/tables/msp_lr_validation_axis_plan.tsv;results/tables/msp_lr_validation_assay_matrix.tsv	docs/manuscript/09_msp_full_methods_draft.md	Prospective validation lanes: formal communication tools, protein evidence, and perturbation.
M13	Unperformed modules	not_performed_current_analysis	docs/methods/msp_definition.md;docs/workflow/01_analysis_workflow.md	docs/manuscript/10_msp_methods_reporting_checklist.md	Hotspot, RNA velocity, MR, and formal communication-tool consensus are not reported as completed analyses.
