confirmation_id	category	confirmation_item	current_text_or_source	required_response	responsible_party	blocking_status	confirmation_status
C01	author_metadata	Author order, author names, affiliations, and corresponding author details were supplied by the user.	Shiyou Ren1,3, Dan Li1,2, Ya Ding1,2, Xilong Cui1,2, Haiyang Yu1,2,* | Haiyang Yu, MD; Department of Orthopedics, Affiliated Fuyang People's Hospital of Anhui Medical University, Fuyang, Anhui Province, China; Email: fy.yhy@163.com	final corresponding-author approval	corresponding_author	author_supplied_locked	author_supplied_locked
C02	author_metadata	Confirm whether the submission system requires a phone number for the corresponding author.	Phone number placeholder remains in title page source.	add phone if portal requires it	corresponding_author	user_to_fill_if_required	user_to_fill_if_required
C03	funding	Funding agency name and grant number were supplied by the user.	This research was funded by the Clinical Medicine Translational Research Special Program of Anhui Provincial Department of Science and Technology (grant number 202527c10020008).	final corresponding-author approval	corresponding_author	author_supplied_locked	author_supplied_locked
C04	coi	Confirm Conflicts of Interest statement.	The authors declare that they have no conflicts of interest.	approve / revise	all_authors	corresponding_author_final_confirm	corresponding_author_final_confirm
C05	ethics	Confirm Ethical Statement wording for public and author-provided processed transcriptomic data.	No new human or animal specimens were collected; source-study ethics are cited in manuscript references 3-5.	approve / revise	corresponding_author	corresponding_author_final_confirm	corresponding_author_final_confirm
C06	ai_declaration	Confirm AI declaration matches actual tool use and final JOT policy.	AI-assisted drafting tools used for language editing, organization, and internal manuscript preparation.	approve / revise	corresponding_author	corresponding_author_final_confirm	corresponding_author_final_confirm
C07	claims	Confirm that MIF_CD74, ANGPTL4_integrin, and VEGF remain candidate axes and not causal mechanisms.	Manuscript, cover letter, and figure package use candidate/not causal wording.	approve / revise	all_authors	blocking_before_submission	manual_user_check
C08	figures	Confirm final Figure 1-5 and Supplementary Figure S1 readability, panel labels, and file format.	submission/jot/figures	approve / revise	analyst_and_corresponding_author	blocking_before_submission	manual_user_check
C09	supplementary_tables	Confirm ST01-ST28 workbook sheet names, table contents, and readability.	submission/jot/JOT_Supplementary_Tables_ST01_ST28.xlsx	approve / revise	analyst_and_corresponding_author	recommended_before_submission	manual_user_check
C10	repository	Repository URL/DOI will be supplied by the user before final submission.	repository URL/DOI remains user-owned	user fills repository URL or DOI	user	user_to_fill	user_to_fill
C11	manuscript_format	Open metadata-clean anonymized manuscript and confirm formatting, abstract, keywords, figure callouts, and references placeholder.	metadata-clean anonymized manuscript DOCX	approve / revise	analyst_or_submitter	recommended_before_submission	manual_user_check
C12	author_contributions	Author contribution statement was supplied by the user.	H.Y. and S.R. conceived and designed the study. S.R. performed the data analysis and wrote the original draft. D.L. and Y.D. assisted with data curation and visualization. X.C. and D.L. contributed to methodology and result interpretation. H.Y. supervised the project, acquired funding, and revised the manuscript. All authors read and approved the final manuscript.	final corresponding-author approval	corresponding_author	author_supplied_locked	author_supplied_locked
