claim_id	manuscript_section	claim_text	evidence_level	primary_source	claim_guardrail	action_status	source_exists
C01	MSP discovery	MSP discovery in fibrochondrocyte cNMF programs nominated recurrent meniscus/interface program candidates rather than a hub-gene signature.	single_cell_program_discovery	results/tables/gse220243_cnmf_msp_candidate_shortlist.tsv	Program-level candidate evidence; not causal and not a validated senescence mechanism.	ready_with_cautious_language	True
C02	MSP discovery	Balanced cNMF and sample-aware summaries support using program recurrence across donors as the acceptance frame for MSP-like axes.	sample_aware_discovery_qc	results/tables/gse220243_fibrochondrocyte_cnmf_balanced_discovery_usage_summary.tsv	Avoid treating sample-skewed clusters as independent disease states.	ready_for_methods_and_supplement	True
C03	HRA projection	HRA projection supports anatomical and cell-state context for MSP-like programs in author-processed human meniscus data.	external_single_cell_projection	results/tables/hra001986_msp_projection_group_tests.tsv	Projection validates context, not causality or universal disease direction.	ready_with_context_language	True
C04	HRA projection	HRA inner/outer and normal/abnormal summaries help separate meniscus-context signal from generic senescence signal.	external_single_cell_context_summary	results/tables/hra001986_msp_projection_group_summary.tsv	Do not overinterpret author labels as direct spatial proof.	ready_for_figure_support	True
C05	bulk validation	bulk validation shows MSP-like axes are detectable across cohorts, but effect direction is heterogeneous across tissue and comparator context.	multi_cohort_bulk_meta_analysis	results/tables/bulk_msp_meta_evidence_grade.tsv	Do not claim a universal OA-up MSP signature.	ready_with_heterogeneity_language	True
C06	bulk subtype analysis	Bulk subtype analysis supports an S1 ECM/fibrotic-high state and an S2 mixed-low state.	bulk_consensus_subtyping	results/tables/bulk_msp_subtyping_subtype_profiles.tsv	Frame as relative subtype structure, not a clinical classifier without prospective validation.	ready_for_results_draft	True
C07	bulk robustness	Covariate and leave-one checks reinforce that age, tissue, platform, and comparator context need explicit handling.	bulk_sensitivity_analysis	results/tables/bulk_msp_robustness_flags.tsv	Use sensitivity evidence to temper directionality claims.	ready_for_supplement	True
C08	bulk cell-state proxy	Reference-based bulk proxies are directionally suggestive for remodeling/MSP-interface biology but not definitive cell-fraction estimates.	bulk_reference_proxy	results/tables/bulk_cell_state_proxy_subtype_summary.tsv	Do not present NNLS or marker proxies as validated cell composition.	ready_for_supplement	True
C09	candidate paracrine axes	MSP-program-high meniscal fibrochondrocytes nominate MIF_CD74, ANGPTL4_integrin, VEGF as leading candidate paracrine axes.	integrated_mechanism_prioritization	results/tables/msp_mechanism_axis_evidence_dossier.tsv	candidate axes only; not causal until formal communication, protein, and perturbation evidence align.	ready_for_main_mechanism_figure	True
C10	single-cell sender-receiver context	Single-cell ligand and receptor expression context supports the leading mechanism-axis shortlist.	single_cell_expression_context	results/tables/msp_lr_single_cell_context_priority.tsv	Expression co-context is not CellChat, LIANA, or NicheNet evidence by itself.	ready_for_mechanism_support	True
C11	pre-NicheNet concordance	Pre-NicheNet target concordance links primary axes to S1-high receiver-response genes while keeping generic matrix reserve axes exploratory.	target_overlap_prioritization	results/tables/msp_axis_target_concordance_for_nichenet.tsv	Target overlap is not ligand-activity inference.	ready_for_supplement_and_tool_input	True
C12	validation roadmap	The validation roadmap separates senolytic, senomorphic, and axis-specific perturbation strategies for prioritized candidates.	experimental_design_package	results/tables/msp_lr_validation_assay_matrix.tsv	Roadmap is a proposed validation plan, not completed wet-lab evidence.	ready_for_discussion_or_grant-style_panel	True
C13	figure package	Figure 4 is organized around evidence-ranked candidate axes, sender-receiver context, and pre-NicheNet concordance.	manuscript_figure_source_package	results/tables/manuscript_figure4_axis_summary.tsv	Use candidate and not causal language in figure title, legend, and text.	ready_for_manual_figure_polish	True
