file_id	upload_category	recommended_filename	source_path	readiness_status	action_needed
UF01	title_page	JOT_Title_Page_and_Author_Statements.docx	docs/manuscript/20_jot_title_page_and_author_statements.md	prepared_needs_docx_conversion	Convert to DOCX; confirm COI, ethics wording, and phone number if required.
UF02	manuscript	JOT_Anonymized_Manuscript.docx	docs/manuscript/22_jot_anonymized_manuscript_draft.md	prepared_needs_docx_conversion	Convert to DOCX and inspect document metadata for author identifiers.
UF03	cover_letter	JOT_Cover_Letter.docx	docs/manuscript/21_jot_cover_letter_draft.md	prepared_needs_docx_conversion	Corresponding author should review and sign or approve.
UF04	declarations	JOT_Declarations.docx	docs/manuscript/20_jot_title_page_and_author_statements.md	needs_user_input	Extract COI, ethics, funding, author contributions, and AI declaration after author confirmation.
UF05	main_figure	Figure_1_MSP_discovery_workflow.png	results/figures/manuscript/figure1_workflow_and_msp_discovery_draft.png	available_draft	Manual visual polish, final panel lettering, and export to journal-resolution TIFF/PDF if required.
UF06	main_figure	Figure_2_HRA_projection.png	results/figures/manuscript/figure2_hra_projection_draft.png	available_draft	Manual visual polish and ensure all labels are anonymized and readable.
UF07	main_figure	Figure_3_bulk_validation_subtyping.png	results/figures/manuscript/figure3_bulk_validation_subtyping_draft.png	available_draft	Manual visual polish, final color scale audit, and panel lettering.
UF08	main_figure	Figure_4_candidate_paracrine_axes.png	results/figures/manuscript/figure4_mechanism_network_draft.png;results/figures/manuscript/figure4_axis_summary_draft.png	available_draft	Combine network and axis summary into one final multi-panel Figure 4.
UF09	main_figure	Figure_5_validation_roadmap.png	results/figures/manuscript/figure5_validation_roadmap_draft.png	available_draft	Manual visual polish and export to journal-resolution TIFF/PDF if required.
UF10	supplementary_figure	Supplementary_Figure_S1_guardrails_sensitivity.png	results/figures/manuscript/supplementary_figure_s1_guardrails_sensitivity_draft.png	available_draft	Manual visual polish and export to journal-resolution TIFF/PDF if required.
UF11	supplementary_table	JOT_Supplementary_Tables_ST01_ST28.xlsx	results/tables/manuscript_jot_supplementary_upload_manifest.tsv	source_ready_needs_xlsx_assembly	Assemble 28 source tables into one or more supplementary XLSX files.
UF12	data_code_deferred	Data_and_Code_Availability_URL_or_DOI.txt	[deferred]	code_repository_deferred	Create final code repository/archive and insert URL or DOI during final submission preparation.
